"Plot Title: Zegveld 2"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20143715, SEN S/N: 20143715)","Intensity, Lux (LGR S/N: 20143715, SEN S/N: 20143715)","Coupler Detached (LGR S/N: 20143715)","End Of File (LGR S/N: 20143715)"
114,06/06/18 09:14:39 AM,22.046,0.0,,
115,06/06/18 09:15:09 AM,22.046,0.0,,
116,06/06/18 09:15:39 AM,22.046,0.0,,
117,06/06/18 09:16:09 AM,22.046,0.0,,
118,06/06/18 09:16:39 AM,22.046,0.0,,
119,06/06/18 09:17:09 AM,22.046,0.0,,
120,06/06/18 09:17:39 AM,22.046,0.0,,
121,06/06/18 09:18:09 AM,22.046,0.0,,
122,06/06/18 09:18:39 AM,22.046,0.0,,
123,06/06/18 09:19:09 AM,22.046,0.0,,
124,06/06/18 09:19:39 AM,22.142,0.0,,
125,06/06/18 09:20:09 AM,22.142,0.0,,
126,06/06/18 09:20:39 AM,22.142,0.0,,
127,06/06/18 09:21:09 AM,22.142,0.0,,
128,06/06/18 09:21:39 AM,22.142,0.0,,
129,06/06/18 09:22:09 AM,22.142,0.0,,
130,06/06/18 09:22:39 AM,22.142,0.0,,
131,06/06/18 09:23:09 AM,22.142,0.0,,
132,06/06/18 09:23:39 AM,22.142,0.0,,
133,06/06/18 09:24:09 AM,22.142,0.0,,
134,06/06/18 09:24:39 AM,22.238,0.0,,
135,06/06/18 09:25:09 AM,22.238,0.0,,
136,06/06/18 09:25:39 AM,22.238,0.0,,
137,06/06/18 09:26:09 AM,22.238,0.0,,
138,06/06/18 09:26:39 AM,22.238,0.0,,
139,06/06/18 09:27:09 AM,22.238,0.0,,
140,06/06/18 09:27:39 AM,22.238,0.0,,
141,06/06/18 09:28:09 AM,22.238,0.0,,
142,06/06/18 09:28:39 AM,22.238,0.0,,
143,06/06/18 09:29:09 AM,22.238,0.0,,
144,06/06/18 09:29:39 AM,22.238,0.0,,
145,06/06/18 09:30:09 AM,22.238,0.0,,
146,06/06/18 09:30:39 AM,22.238,0.0,,
147,06/06/18 09:31:09 AM,22.333,0.0,,
148,06/06/18 09:31:39 AM,22.333,0.0,,
149,06/06/18 09:32:09 AM,22.333,0.0,,
150,06/06/18 09:32:39 AM,22.333,0.0,,
151,06/06/18 09:33:09 AM,22.333,0.0,,
152,06/06/18 09:33:39 AM,22.333,0.0,,
153,06/06/18 09:34:09 AM,22.333,0.0,,
154,06/06/18 09:34:39 AM,22.333,0.0,,
155,06/06/18 09:35:09 AM,22.333,0.0,,
156,06/06/18 09:35:39 AM,22.333,0.0,,
157,06/06/18 09:36:09 AM,22.333,0.0,,
158,06/06/18 09:36:39 AM,22.333,0.0,,
159,06/06/18 09:37:09 AM,22.333,0.0,,
160,06/06/18 09:37:39 AM,22.333,0.0,,
161,06/06/18 09:38:09 AM,22.333,0.0,,
162,06/06/18 09:38:39 AM,22.333,0.0,,
163,06/06/18 09:39:09 AM,22.333,0.0,,
164,06/06/18 09:39:39 AM,22.333,0.0,,
